Project_ID,Project_Name,Category,Budget,Status,Completion_Percentage,Lab_Location,Start_date,Risk_Level,Priority
DRDO-145,Mission Shakti II,Missiles,5000,Ongoing,0.4,Balasore,15-05-2023,High,Strategic
DRDO-146,Mountain Radar,Electronics,800,Testing,0.9,Dehradun,20-06-2022,Low,Support
DRDO-147,Bio-Suit,Life Sciences,50,Completed,1,Gwalior,5/1/2021,Low,Support
DRDO-148,Nirbhay ITCM,Missiles,2200,Testing,0.8,Balasore,12/3/2022,Medium,Tactical
DRDO-149,P-75I AIP System,Naval,6000,Ongoing,0.5,Mumbai,18-09-2022,High,Strategic
DRDO-150,Laser Weapon,Armaments,3500,Ongoing,0.2,Delhi,5/2/2024,High,Strategic
DRDO-151,Dhruvastra,Missiles,900,Testing,0.95,Jodhpur,12/6/2022,Medium,Tactical
DRDO-152,HTT-40 Engine,Aeronautics,1200,Completed,1,Bangalore,15-12-2020,Low,Tactical
DRDO-153,Prachand Sensors,Electronics,1600,Ongoing,0.6,Bangalore,20-01-2023,Medium,Support
DRDO-154,Advanced Torpedo,Naval,2900,Testing,0.72,Kochi,10/4/2022,Medium,Tactical
DRDO-155,HSTDV Hypersonic,Missiles,7000,Testing,0.6,Hyderabad,15-08-2022,High,Strategic
DRDO-156,S-Band Radar,Electronics,2300,Ongoing,0.4,Bangalore,1/11/2023,Medium,Tactical
DRDO-157,Akash Prime,Missiles,3100,Completed,1,Chandipur,12/2/2021,Low,Strategic
DRDO-158,Mounted Gun,Armaments,1800,Ongoing,0.3,Pune,14-05-2023,Medium,Tactical
DRDO-159,Combat Drone,Aeronautics,5500,Delayed,0.45,Bangalore,20-09-2021,High,Strategic
DRDO-160,Nayan Radar,Electronics,1100,Testing,0.88,Dehradun,15-12-2022,Low,Support
DRDO-161,Sea-Based BMD,Missiles,8800,Ongoing,0.2,Visakhapatnam,10/1/2024,High,Strategic
DRDO-162,Underwater Drone,Naval,4200,Ongoing,0.15,Kochi,5/3/2024,High,Strategic
DRDO-163,Night Vision Goggles,Electronics,300,Completed,1,Dehradun,22-04-2021,Low,Support
DRDO-164,Bullet Proof Jacket,Life Sciences,150,Completed,1,Kanpur,10/10/2021,Low,Support
DRDO-165,Anti-Drone System,Electronics,2500,Testing,0.92,Delhi,18-11-2022,Medium,Tactical
DRDO-166,Sudarshan LGB,Armaments,400,Completed,1,Bangalore,5/2/2021,Low,Tactical
DRDO-167,Astra Mk-3,Missiles,5100,Ongoing,0.1,Hyderabad,15-04-2024,High,Strategic
DRDO-168,Rudram-II,Missiles,2600,Testing,0.78,Balasore,12/6/2022,Medium,Strategic
DRDO-169,UAV Launch Pad,Aeronautics,800,Completed,1,Chitradurga,10/9/2021,Low,Support
DRDO-169,UAV Launch Pad,Aeronautics,800,Completed,1,Chitradurga,25-12-2022,Low,Support
DRDO-170,Heavy Drop System,Armaments,600,Ongoing,0.55,Agra,25-12-2022,Low,Support
DRDO-171,Agni-1P Deployment,Missiles,3200,Ongoing,0.65,Balasore,15-01-2022,High,Strategic
DRDO-172,Kaveri Engine,Aeronautics,4100,Testing,0.45,Bangalore,20-03-2021,High,Strategic
DRDO-173,Pinaka Guided,Armaments,1400,Ongoing,0.72,Pune,10/7/2023,Medium,Tactical
DRDO-174,Varunastra Mk2,Naval,2200,Testing,0.35,Kochi,5/2/2024,Medium,Tactical
DRDO-175,Akash-1S,Missiles,2500,Completed,1,Hyderabad,12/11/2020,Low,Strategic
DRDO-176,Arjun Mk-2,Armaments,7800,Ongoing,0.2,Ahmednagar,25-08-2023,High,Tactical
DRDO-177,TAPAS MALE UAV,Aeronautics,3100,Testing,0.82,Bangalore,14-05-2022,Medium,Strategic
DRDO-178,P-75 AIP Prototype,Naval,5500,Ongoing,0.4,Mumbai,30-12-2021,High,Strategic
DRDO-179,VL-SRSAM Deployment,Missiles,1800,Ongoing,0.55,Chandipur,18-06-2023,Medium,Tactical
DRDO-180,Rudram-1 ARM,Missiles,2100,Completed,1,Balasore,1/1/2021,Low,Strategic
DRDO-181,Smart Anti-Air Weapon,Armaments,950,Testing,0.9,Bangalore,22-09-2022,Medium,Tactical
DRDO-182,Netra Mk-2 AEW&C,Aeronautics,8500,Ongoing,0.3,Bangalore,10/10/2023,High,Strategic
DRDO-183,Maareech Upgrade,Naval,750,Ongoing,0.6,Visakhapatnam,5/3/2023,Low,Support
DRDO-184,Prithvi-II,Missiles,1200,Completed,1,Hyderabad,15-02-2020,Low,Strategic
DRDO-185,Zorawar Phase 2,Armaments,3800,Ongoing,0.15,Ahmednagar,12/4/2024,High,Tactical
DRDO-186,Abhyas HEAT Batch 2,Aeronautics,600,Testing,0.95,Balasore,8/6/2022,Low,Support
DRDO-187,Astra-IR Missile,Missiles,2900,Ongoing,0.48,Hyderabad,21-09-2023,Medium,Tactical
DRDO-188,Ushas-2 Sonar,Naval,1100,Completed,1,Kochi,10/5/2021,Low,Support
DRDO-189,Swathi Weapon Radar,Electronics,2300,Ongoing,0.8,Bangalore,14-07-2022,Medium,Tactical
DRDO-190,Shaurya Block-II,Missiles,3400,Testing,0.7,Balasore,25-10-2022,Medium,Strategic
DRDO-191,Daksh Scouter,Electronics,450,Ongoing,0.5,Pune,15-11-2023,Low,Support
DRDO-192,Mission Shakti III,Missiles,6200,Ongoing,0.1,Balasore,1/1/2024,High,Strategic
DRDO-193,LCA AF Mk1A,Aeronautics,9800,Completed,1,Bangalore,20-02-2021,Low,Strategic
DRDO-194,SMART Torpedo,Naval,3000,Testing,0.85,Visakhapatnam,18-05-2022,Medium,Tactical
DRDO-195,Prahaar ER,Missiles,1700,Ongoing,0.4,Hyderabad,5/9/2023,Medium,Tactical
DRDO-196,WhAP Fire Control,Armaments,850,Testing,0.78,Pune,12/11/2022,Low,Support
DRDO-197,Arudhra Medium Radar,Electronics,1500,Completed,1,Bangalore,14-12-2020,Low,Support
DRDO-198,BrahMos Hypersonic,Missiles,12500,Ongoing,0.25,Hyderabad,30-03-2024,High,Strategic
DRDO-199,Advanced Sonobuoy,Naval,500,Ongoing,0.3,Kochi,10/7/2023,Low,Support
DRDO-200,Satellite Interceptor,Missiles,9000,Testing,0.92,Balasore,1/1/2024,High,Strategic
